id,Key_phrases,ID,type
fd0cab67ceabca4998918df1b37047aa,"Ink Bottles",15,"Key_phrases"
8470d9ecc39d11b61fdf03e0a7572c02,"Extra Black",15,"Key_phrases"
e7a457cd5446cdff973fb1048294cb34,"Colour Prints",15,"Key_phrases"
9dba5f42b505643ecf5cc5c886afddc7,"Black Ink",15,"Key_phrases"
1551eb68165f5c6ce1de9bd3f889ce02,"WiFi Colour",15,"Key_phrases"
e611917ad404a5bec82d710dd0dbab7a,"Limited-time deal",15,"Key_phrases"
b5f1a5fd8be77dee75cc16893584a4ed,"Upto",15,"Key_phrases"
4c5a92cbe5d5acbe77d7be028d25542b,"Colour Printer",15,"Key_phrases"
11e77233758094416bf8b3a9b95759d2,"Colour",15,"Key_phrases"
27a2423c3ca5ca5a8e9eaa8af24d060e,"Black",15,"Key_phrases"
8a1b2623842e06e570f95118d7a4bcf9,"Tank",15,"Key_phrases"
82007c9934c40a2e4d012c15dc98ee86,"Extra",15,"Key_phrases"
f72e057796b509bc2827e39361bd427b,"Bottles",15,"Key_phrases"
5557f782f0973de214d93602e0c2c951,"Prints",15,"Key_phrases"
0b64d89a665511a8f477ee762d4a5477,"Smart",15,"Key_phrases"
2d967ddd9dfd19cd5d86eaae9377822f,"Ink",15,"Key_phrases"
0920ed7bbd0feca4922e6ec7df0555a1,"Printer cartridges Work",16,"Key_phrases"
8fe3b9fa6aa6c46e2eb929ad2e47b939,"Work for Officejet",16,"Key_phrases"
a3581339512d9d5de5c2183ad91def64,"cartridges Work",16,"Key_phrases"
2f09cc7ef6dd4fe087b744b61b0f9c46,"Printer cartridges",16,"Key_phrases"
ede0d34cdcb8a137e115eaaecb831676,"Plavetink",16,"Key_phrases"
49f302fa2020f7e2663e146af97b64ae,"Officejet",16,"Key_phrases"
8a471031557068afb954acc9bf06bc43,"Printer",16,"Key_phrases"
b1e311b8f1e7a5e8f83969f068ab9879,"Work",16,"Key_phrases"
35176a7cbcd48df74c5f9290ef8c9aa2,"Cartridge",16,"Key_phrases"
a3da289f4114651752eb049151a82df1,"cartridges",16,"Key_phrases"
0ac01ed7ba7564f435395189e0d2762b,"dips",17,"Key_phrases"
6e886a6681826f578c1142de04ab2199,"Re-up Preloved",17,"Key_phrases"
